Touch Index,Filename,Author,Week
0,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,grubeli,334
1,README.md,Scott Alexander-Bown,311
2,README.md,Harsh Mahajan,311
3,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,309
4,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,309
5,rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,309
6,build.gradle,Scott Alexander-Bown,309
7,changes.md,Scott Alexander-Bown,309
8,rootbeerlib/build.gradle,Scott Alexander-Bown,309
9,rootbeerlib/src/main/AndroidManifest.xml,Scott Alexander-Bown,309
10,rootbeerlib/src/main/cpp/CMakeLists.txt,Scott Alexander-Bown,309
11,rootbeerlib/src/main/cpp/toolChecker.cpp,Scott Alexander-Bown,309
12,rootbeerlib/src/main/cpp/toolChecker.h,Scott Alexander-Bown,309
13,rootbeerlib/src/main/jni/Android.mk,Scott Alexander-Bown,309
14,rootbeerlib/src/main/jni/Application.mk,Scott Alexander-Bown,309
15,rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,Scott Alexander-Bown,309
16,rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,Scott Alexander-Bown,309
17,rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,Scott Alexander-Bown,309
18,rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,Scott Alexander-Bown,309
19,app/build.gradle,Scott Alexander-Bown,309
20,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,309
21,gradle.properties,Scott Alexander-Bown,309
22,rootbeerlib/src/main/jniLibs/arm64-v8a/libtool-checker.so,Scott Alexander-Bown,309
23,rootbeerlib/src/main/jniLibs/armeabi-v7a/libtool-checker.so,Scott Alexander-Bown,309
24,rootbeerlib/src/main/jniLibs/x86/libtool-checker.so,Scott Alexander-Bown,309
25,rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so,Scott Alexander-Bown,309
26,app/build.gradle,Scott Alexander-Bown,307
27,app/src/main/ic_launcher-playstore.png,Scott Alexander-Bown,307
28,app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml,Scott Alexander-Bown,307
29,app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml,Scott Alexander-Bown,307
30,app/src/main/res/mipmap-hdpi/ic_launcher.png,Scott Alexander-Bown,307
31,app/src/main/res/mipmap-hdpi/ic_launcher_foreground.png,Scott Alexander-Bown,307
32,app/src/main/res/mipmap-hdpi/ic_launcher_round.png,Scott Alexander-Bown,307
33,app/src/main/res/mipmap-mdpi/ic_launcher.png,Scott Alexander-Bown,307
34,app/src/main/res/mipmap-mdpi/ic_launcher_foreground.png,Scott Alexander-Bown,307
35,app/src/main/res/mipmap-mdpi/ic_launcher_round.png,Scott Alexander-Bown,307
36,app/src/main/res/mipmap-xhdpi/ic_launcher.png,Scott Alexander-Bown,307
37,app/src/main/res/mipmap-xhdpi/ic_launcher_foreground.png,Scott Alexander-Bown,307
38,app/src/main/res/mipmap-xhdpi/ic_launcher_round.png,Scott Alexander-Bown,307
39,app/src/main/res/mipmap-xxhdpi/ic_launcher.png,Scott Alexander-Bown,307
40,app/src/main/res/mipmap-xxhdpi/ic_launcher_foreground.png,Scott Alexander-Bown,307
41,app/src/main/res/mipmap-xxhdpi/ic_launcher_round.png,Scott Alexander-Bown,307
42,app/src/main/res/mipmap-xxxhdpi/ic_launcher.png,Scott Alexander-Bown,307
43,app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png,Scott Alexander-Bown,307
44,app/src/main/res/mipmap-xxxhdpi/ic_launcher_round.png,Scott Alexander-Bown,307
45,app/src/main/res/values/ic_launcher_background.xml,Scott Alexander-Bown,307
46,.circleci/config.yml,Scott Alexander-Bown,307
47,app/build.gradle,Scott Alexander-Bown,307
48,app/src/main/AndroidManifest.xml,Scott Alexander-Bown,307
49,app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,307
50,app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Scott Alexander-Bown,307
51,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,307
52,app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,Scott Alexander-Bown,307
53,app/src/main/java/com/scottyab/rootbeer/sample/RootItemResult.kt,Scott Alexander-Bown,307
54,app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,Scott Alexander-Bown,307
55,app/src/main/java/com/scottyab/rootbeer/sample/TextViewFont.java,Scott Alexander-Bown,307
56,app/src/main/java/com/scottyab/rootbeer/sample/extensions/ViewExtensions.kt,Scott Alexander-Bown,307
