Date,CommitDetails
2021-11-16T14:04:57Z,"('grubeli', 'app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt')"
2021-06-07T08:54:51Z,"('Scott Alexander-Bown', 'README.md')"
2021-06-07T08:50:08Z,"('Harsh Mahajan', 'README.md')"
2021-05-24T07:46:20Z,"('Scott Alexander-Bown', 'app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt')"
2021-05-24T07:45:07Z,"('Scott Alexander-Bown', 'app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt')"
2021-05-24T07:35:11Z,"('Matthew Rollings', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java')"
2021-05-22T13:42:21Z,"('Scott Alexander-Bown', 'rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so')"
2021-05-21T14:40:38Z,"('Scott Alexander-Bown', 'rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so')"
2021-05-08T16:42:23Z,"('Scott Alexander-Bown', 'app/src/main/res/values/ic_launcher_background.xml')"
2021-05-08T14:18:37Z,"('Scott Alexander-Bown', 'rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java')"
2021-05-04T07:04:38Z,"('Scott Alexander-Bown', 'README.md')"
2021-05-04T06:47:42Z,"('Scott Alexander-Bown', 'gradle.properties')"
2020-07-27T18:50:09Z,"('Prempal Singh', 'README.md')"
2020-07-22T11:25:49Z,"('Stefan M', 'rootbeerlib/src/main/res/values/strings.xml')"
2020-07-21T13:58:39Z,"('Matthew Rollings', 'README.md')"
2020-07-21T13:19:44Z,"('Slim Namouchi', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java')"
2020-07-21T13:10:44Z,"('Matthew Rollings', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java')"
2020-07-17T08:05:44Z,"('Roberto Gonzalez', 'rootbeerlib/src/main/jni/Android.mk')"
2020-07-15T20:47:49Z,"('Fi5t', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java')"
2020-03-16T11:44:07Z,"('Scott Alexander-Bown', 'rootbeerlib/build.gradle')"
2020-03-11T09:38:15Z,"('mat', 'art/tv-3.png')"
2020-03-11T09:28:40Z,"('Deepak PK', 'app/src/main/res/layout/activity_main.xml')"
2020-02-08T21:35:00Z,"('Matthew Rollings', 'rootbeerlib/build.gradle')"
2020-02-08T20:34:17Z,"('Matthew Rollings', 'gradle.properties')"
2020-02-07T14:44:11Z,"('Matthew Rollings', 'rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so')"
2020-02-07T09:43:09Z,"('mat', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/util/QLog.java')"
2020-02-04T13:41:34Z,"('mat', 'rootbeerlib/src/main/jniLibs/x86_64/libtool-checker.so')"
2020-02-04T13:21:36Z,"('mat', '.circleci/config.yml')"
2020-02-04T11:42:07Z,"('mat', 'changes.md')"
2020-02-04T11:41:46Z,"('mat', 'art/sticker.png')"
2020-02-03T20:42:40Z,"('Matthew Rollings', 'rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java')"
2020-02-03T20:42:27Z,"('Matthew Rollings', 'rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java')"
2020-01-31T00:54:28Z,"('Daniel Kutik', 'rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java')"
2020-01-30T16:17:56Z,"('Matthew Rollings', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java')"
2020-01-30T16:12:36Z,"('mat', 'rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java')"
2020-01-30T13:09:02Z,"('mat', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/Const.java')"
2020-01-30T13:05:20Z,"('Matthew Rollings', 'rootbeerlib/src/test/java/com/scottyab/rootbeer/RootBeerTest.java')"
2020-01-30T13:05:03Z,"('Matthew Rollings', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java')"
2020-01-28T14:06:12Z,"('mat', 'rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeer.java')"
2020-01-28T13:12:19Z,"('mat', 'README.md')"
